NFLID,Height,Weight,DOB,College
00-0028501,Sidney Glover,207,2/1/1989,West Virginia
00-0028506,Doyle Miller,185,12/26/1987,Nevada
00-0028059,Chris Prosinski,213,4/28/1987,Wyoming
00-0028504,Brad Jefferson,250,3/22/1989,Georgia Tech
00-0028505,Loyce Means,188,3/31/1989,Houston
00-0022038,Tully Banta-Cain,250,8/28/1980,California
00-0028055,James Brewer,330,12/23/1987,Indiana
00-0028056,Jalil Brown,210,10/14/1987,Colorado
00-0028057,Delone Carter,232,6/22/1987,Syracuse
00-0028050,Greg Salas,210,8/25/1988,Hawaii
00-0028051,Chimdi Chekwa,190,1/7/1988,Ohio State
00-0028052,Cecil Shorts,202,12/22/1987,Mount Union
00-0028053,Kendall Hunter,199,9/16/1988,Oklahoma State
00-0026900,Jarron Gilbert,289,9/30/1986,San Jose State
00-0033907,Dawuane Smoot,264,3/2/1995,Illinois
00-0033904,Dion Dawkins,320,4/26/1994,Temple
00-0033905,Larry Ogunjobi,305,6/3/1994,North Carolina-Charlotte
00-0033902,Tanoh Kpassagnon,289,6/14/1994,Villanova
00-0033903,Josh Jones,220,9/20/1994,North Carolina State
00-0033900,Obi Melifonwu,244,4/5/1994,Connecticut
00-0033901,Ethan Pocic,309,8/5/1995,LSU
00-0026908,Anthony Hill,278,1/2/1985,North Carolina State
00-0026909,Rich Ohrnberger,300,2/14/1986,Penn State
00-0033908,Cooper Kupp,205,6/15/1993,Eastern Washington
00-0033909,Pat Elflein,303,7/6/1994,Ohio State
00-0029457,Michael Harris,338,12/5/1988,UCLA
00-0029456,Logan Harrell,280,9/25/1989,Fresno State
00-0029454,Gregory Gatson,165,3/24/1989,Arkansas
00-0029453,Taylor Embree,210,10/3/1988,UCLA
00-0029451,Sean Cattouse,210,10/4/1988,California
00-0029459,Jarrett Lee,210,6/2/1989,LSU
00-0029458,Michael Hayes,200,6/18/1990,Houston
00-0030452,Eric Herman,320,10/5/1989,Ohio U.
00-0030459,Tyrann Mathieu,186,5/13/1992,LSU
00-0030458,Arthur Brown,240,6/17/1990,Kansas State
00-0030455,Star Lotulelei,315,12/20/1989,Utah
00-0030454,Alex Gillett,215,5/17/1991,Eastern Michigan
00-0030457,Tank Carradine,270,2/18/1989,Florida State
00-0030456,Giovani Bernard,205,11/22/1991,North Carolina
00-0030451,Demetrius McCray,198,5/11/1991,Appalachian State
00-0030450,Quinton Patton,204,8/9/1990,Louisiana Tech
00-0030453,Malcolm Bronson,192,5/11/1990,McNeese State
00-0031981,Richard Ash,320,8/4/1992,Western Michigan
00-0019435,Mike Leach,235,10/18/1976,William & Mary
00-0031982,Cap Capi,249,7/11/1992,Akron
00-0003315,Todd Collins,223,11/5/1971,Michigan
00-0004472,Marques Douglas,290,3/15/1977,Howard
00-0029901,Rashaan Melvin,196,10/2/1989,Northern Illinois
00-0029900,Evan Landi,236,,South Florida
00-0029904,Brice Schwab,302,10/4/1989,Arizona State
00-0023347,Mike Kracalik,335,9/8/1982,San Diego State
00-0029909,Jason Weaver,305,4/12/1989,Southern Mississippi
00-0027507,Chris Hawkins,184,4/12/1986,LSU
00-0027506,Kevin Haslam,310,11/8/1986,Rutgers
00-0027505,Trevor Harris,223,5/31/1986,Edinboro
00-0027503,Josh Gordy,196,2/9/1987,Central Michigan
00-0027502,John Estes,293,3/25/1987,Hawaii
00-0027501,Jacob Cutrera,238,5/18/1988,LSU
00-0027500,Mike Caussin,243,2/26/1987,James Madison
00-0029244,Markus Zusevics,300,4/25/1989,Iowa
00-0032508,Hakeem Valles,260,11/23/1992,Monmouth (N.J.)
00-0027509,Robert Malone,215,2/4/1988,Fresno State
00-0027508,Chad Kackert,199,9/15/1986,New Hampshire
00-0020533,Leonard Davis,355,9/5/1978,Texas
00-0020531,Drew Brees,209,1/15/1979,Purdue
00-0020536,LaDainian Tomlinson,215,6/23/1979,Texas Christian
00-0020535,Justin Smith,285,9/30/1979,Missouri
00-0031852,David Andrews,295,7/10/1992,Georgia
00-0031856,Brandon King,220,6/8/1993,Auburn
00-0031857,Eric Patterson,193,2/5/1993,Ball State
00-0031854,Chris Harper,185,12/7/1993,California
00-0026276,Kenny Moore,195,2/19/1985,Wake Forest
00-0026277,John David Booty,208,1/3/1985,USC
00-0026274,Stanford Keglar,250,7/4/1985,Purdue
00-0026275,Josh Sitton,320,6/16/1986,Central Florida
00-0026272,Derek Fine,247,8/24/1983,Kansas
00-0026270,Tony Hills,304,11/4/1984,Texas
00-0026271,Jack Ikegwuonu,200,1/7/1986,Wisconsin
00-0026278,Robert James,224,12/26/1983,Arizona State
00-0026279,Ryan Torain,220,8/10/1986,Arizona State
00-0019041,Billy Volek,214,4/28/1976,Fresno State
00-0024697,Melvin Bullitt,201,11/13/1984,Texas A&M;
00-0024692,Daniel Muir,312,9/12/1983,Kent State
00-0024693,Pat Murray,316,10/31/1984,Truman State
00-0024690,Larry Birdine,265,10/6/1983,Oklahoma
00-0029707,Justin Blackmon,210,1/9/1990,Oklahoma State
00-0024529,Gijon Robinson,255,10/12/1984,Missouri Western State
00-0022591,Jim Maxwell,240,8/8/1981,Gardner-Webb
00-0033753,Michael Rector,190,12/16/1993,Stanford
00-0033752,Storm Norton,306,5/16/1994,Toledo
00-0033751,Des Lawrence,185,11/30/1994,North Carolina
00-0033750,Leo Koloamatangi,310,5/9/1994,Hawaii
00-0033757,Robert Tonyan,200,4/30/1994,Indiana State
00-0033756,Josh Thornton,185,11/24/1992,Southern Utah
00-0033755,Noel Thomas,200,9/18/1994,Connecticut
00-0033754,Maurice Swain,314,7/25/1995,Auburn
00-0020995,D.D. Lewis,241,1/8/1979,Texas
00-0033759,Josh Banderas,220,2/22/1995,Nebraska
00-0033758,Jeremiah Valoaga,255,11/15/1994,Nevada-Las Vegas
00-0019954,Keydrick Vincent,325,4/13/1978,Mississippi
00-0030219,Eric Martin,250,7/21/1991,Nebraska
00-0029907,Branden Smith,182,12/19/1989,Georgia
00-0030213,Craig Wilkins,243,11/28/1989,Old Dominion
00-0030211,Ray Polk,205,4/22/1990,Colorado
00-0030210,John Lotulelei,235,12/4/1991,Nevada-Las Vegas
00-0030217,Tim Lelito,315,7/21/1989,Grand Valley State
00-0030216,Josh Hill,250,5/21/1990,Idaho State
00-0030215,Glenn Foster,285,5/31/1990,Illinois
00-0029706,Andy Brewer,215,9/27/1986,Northwestern
00-0032507,Marquis Lucas,313,3/25/1993,West Virginia
00-0032503,Givens Price,310,10/3/1994,Nebraska
00-0020332,David Martin,264,3/13/1979,Tennessee
00-0020337,Steve Smith,195,5/12/1979,Utah
00-0023973,Calvin Russell,190,6/14/1983,Tuskegee
00-0019605,Darren Howard,260,11/19/1976,Kansas State
00-0018605,Corey Ivy,190,3/21/1977,Oklahoma
00-0020055,Demetric Evans,275,9/3/1979,Georgia
00-0028269,Nate Whitaker,183,8/29/1988,Stanford
00-0028268,Devon Torrence,190,5/3/1989,Ohio State
00-0030582,Marcus Sales,195,,Syracuse
00-0028263,Andre Holmes,210,6/16/1988,Hillsdale
00-0028262,Ryan Hill,207,4/15/1987,Miami (Fla.)
00-0028260,Larry Dean,226,8/7/1988,Valdosta State
00-0028267,Allen Reisner,255,9/29/1988,Iowa
00-0030581,Adam Yates,195,2/19/1990,South Carolina
00-0030587,Mason Robinson,180,7/24/1989,Rutgers
00-0030854,Erik Swoope,258,5/8/1992,Miami (Fla.)
00-0034019,Malik McDowell,299,6/20/1996,Michigan State
00-0030585,Justin Pugh,311,8/15/1990,Syracuse
00-0034010,Alex Gray,231,5/1/1991,No College
00-0034012,Peli Anau,250,10/26/1993,Northern Arizona
00-0034014,Derrick Nelson,295,5/3/1994,Rutgers
00-0034017,Barrett Gouger,308,9/30/1993,Vanderbilt
00-0034016,Josh Rounds,190,10/11/1993,Tulane
00-0030859,Gannon Conway,280,6/4/1989,Arizona State
00-0029636,Michael Avila,165,11/3/1988,San Jose State
00-0031621,Jake Rodgers,320,9/10/1991,Eastern Washington
00-0031620,Deon Simon,332,7/6/1990,Northwestern State-Louisiana
00-0031623,Austin Shepherd,327,5/28/1992,Alabama
00-0030588,Jeff Olson,300,//,Texas Christian
00-0028199,Terrence McCrae,194,1/10/1988,Ohio U.
00-0028198,Matt Asiata,219,7/24/1987,Utah
00-0031627,Corey Robinson,317,5/21/1992,South Carolina
00-0031626,Brian Mihalik,302,8/21/1992,Boston College
00-0028195,Paul Fenaroli,310,9/2/1989,Stony Brook
00-0028194,Cory Brandon,324,10/5/1987,Oklahoma
00-0028197,Jeremiah Masoli,220,8/24/1988,Mississippi
00-0028196,Ricky Henry,310,7/27/1987,Nebraska
00-0028191,Chris Neild,328,12/1/1987,West Virginia
00-0028192,Cheta Ozougwu,255,11/18/1988,Rice
00-0031209,Senorise Perry,210,9/19/1991,Louisville
00-0031999,Justin March-Lillard,222,7/5/1993,Akron
00-0018956,Brad Meester,292,3/23/1977,Northern Iowa
00-0018957,Mark Simoneau,245,1/16/1977,Kansas State
00-0031992,Kenny Cook,218,5/20/1992,Gardner-Webb
00-0018958,Laveranues Coles,200,12/29/1977,Florida State
00-0031990,Brandon Person,220,8/9/1991,Tiffin University
00-0031997,David Irving,290,8/18/1993,Iowa State
00-0031996,Manasseh Garner,241,3/11/1992,Pittsburgh
00-0031994,Andrew East,220,9/17/1991,Vanderbilt
00-0028995,Stephen Hill,215,4/25/1991,Georgia Tech
00-0028994,Dominique Jones,270,8/15/1987,Shepherd
00-0028997,Jordan Morris,214,5/31/1989,Iowa
00-0028996,Richard Crawford,192,8/1/1990,Southern Methodist
00-0028993,Dion Turner,194,5/23/1989,Southern Utah
00-0028992,Dale Moss,215,9/24/1988,South Dakota State
00-0028999,Levy Adcock,324,11/12/1988,Oklahoma State
00-0028998,Jeff Adams,305,9/6/1989,Columbia
00-0031202,Ben Gottschalk,293,2/15/1992,Southern Methodist
00-0029029,Matt Merletti,205,7/18/1988,North Carolina
00-0029026,Jason Foster,300,10/21/1988,Rhode Island
00-0031200,Courtney Bridget,195,3/22/1991,Hampton
00-0029022,Steven Baker,329,11/24/1988,East Carolina
00-0029023,Cameron Chism,190,12/25/1990,Maryland
00-0029020,Marquis Maze,186,3/2/1988,Alabama
00-0029021,Chigbo Anunoby,320,1/4/1989,Morehouse
00-0025468,Jay Alford,304,5/28/1983,Penn State
00-0025469,Tank Tyler,325,2/14/1985,North Carolina State
00-0025462,Laurent Robinson,205,5/20/1985,Illinois State
00-0025463,Jason Hill,202,2/20/1985,Washington State
00-0025460,Jacoby Jones,215,7/11/1984,Lane
00-0025461,Yamon Figurs,175,1/10/1982,Kansas State
00-0025466,Mike Sims-Walker,212,11/21/1984,Central Florida
00-0025467,Paul Williams,196,12/2/1983,Fresno State
00-0025464,Matt Spaeth,262,11/24/1983,Minnesota
00-0025465,James Jones,208,3/31/1984,San Jose State
00-0026048,Keon Lattimore,222,7/6/1984,Maryland
00-0026046,Steve Octavien,255,11/25/1984,Nebraska
00-0026040,Derek Lokey,300,11/25/1985,Texas
00-0026043,Marcus Dixon,295,9/16/1984,Hampton
00-0030864,Anthony Johnson,295,1/24/1993,LSU
00-0030865,Gator Hoskins,248,12/19/1991,Marshall
00-0030866,Derrell Johnson,257,3/27/1990,East Carolina
00-0030867,Kamal Johnson,314,12/9/1991,Temple
00-0030860,Orleans Darkwa,219,2/28/1992,Tulane
00-0030861,Tariq Edwards,235,5/1/1991,Virginia Tech
00-0030862,Evan Finkenberg,305,10/4/1990,Arizona State
00-0030868,Ryan Lankford,163,12/9/1991,Illinois
00-0030869,Tyler Larsen,325,7/8/1991,Utah
00-0022157,Jeff Faine,291,4/6/1981,Notre Dame
00-0024755,Jyles Tucker,258,9/18/1983,Wake Forest
00-0022156,Bryant Johnson,212,3/7/1981,Penn State
00-0033399,Chase Allen,250,8/29/1993,Southern Illinois
00-0033398,Corey Vereen,247,6/15/1995,Tennessee
00-0033108,Paxton Lynch,244,2/12/1994,Memphis
00-0033109,Javon Hargrave,305,2/7/1993,South Carolina State
00-0033106,Jared Goff,223,10/14/1994,California
00-0033107,William Jackson,190,10/27/1992,Houston
00-0033104,Cody Kessler,215,5/11/1993,USC
00-0033102,Roberto Aguayo,207,5/17/1994,Florida State
00-0033103,Artie Burns,197,5/1/1995,Miami (Fla.)
00-0033391,Jason King,310,11/18/1993,Purdue
00-0033390,D.J. Killings,185,8/9/1995,Central Florida
00-0033394,Max Rich,315,5/19/1994,Harvard
00-0023158,Brock Berlin,215,7/4/1981,Miami (Fla.)
00-0019387,James Hall,265,2/4/1977,Michigan
00-0027313,Brian Jackson,212,5/4/1987,Oklahoma
00-0027311,Dennis Landolt,306,10/15/1986,Penn State
00-0027317,Donovan Warren,193,1/31/1989,Michigan
00-0027314,Jason Lamb,284,3/3/1987,Baylor
00-0027318,Mick Williams,280,7/3/1986,Pittsburgh
00-0030628,Jajuan Harley,213,1/17/1991,Middle Tennessee State
00-0021160,Marc Colombo,320,10/8/1978,Boston College
00-0023569,Matt Giordano,208,10/16/1982,California
00-0023564,Darren Sproles,190,6/20/1983,Kansas State
00-0023567,James Sanders,210,11/11/1983,Fresno State
00-0023566,Chris Canty,320,11/10/1982,Virginia
00-0023561,Alvin Pearman,196,8/10/1982,Virginia
00-0023560,Todd Herremans,323,10/13/1982,Saginaw Valley State
00-0023563,Dylan Gandy,295,3/8/1982,Texas Tech
00-0023562,Chauncey Davis,271,1/27/1983,Florida State
00-0023524,Atiyyah Ellison,315,9/29/1981,Missouri
00-0029946,Abry Jones,318,9/8/1991,Georgia
00-0030991,Chris Watt,310,8/17/1990,Notre Dame
00-0022782,Kevin Jones,225,8/21/1982,Virginia Tech
00-0022783,Teddy Lehman,249,11/18/1981,Oklahoma
00-0022780,D.J. Williams,242,7/20/1982,Miami (Fla.)
00-0022781,Michael Jenkins,214,6/18/1982,Ohio State
00-0022786,Matt Ware,218,12/2/1982,UCLA
00-0022787,Matt Schaub,245,6/25/1981,Virginia
00-0022785,Max Starks,345,1/10/1982,Florida
00-0028522,Mike Higgins,242,12/7/1987,Nebraska-Omaha
00-0026869,Jovan Belcher,228,7/24/1987,Maine
00-0026868,Jackie Bates,180,10/12/1986,Hampton
00-0028934,Bert Reed,183,6/1/1988,Florida State
00-0026866,K.J. Gerard,192,4/22/1986,Northern Arizona
00-0026865,Drew Willy,217,11/13/1986,Buffalo
00-0026864,Isaiah Williams,201,1/30/1987,Maryland
00-0026862,William VanDeSteeg,256,9/22/1985,Minnesota
00-0026860,Eron Riley,207,8/5/1987,Duke
00-0030006,Martavius Neloms,189,9/4/1991,Kentucky
00-0024033,Mark Simmons,185,1/16/1984,Kansas
00-0024030,Tom Johnson,288,8/30/1984,Southern Mississippi
00-0030005,Jon Morgan,233,12/22/1989,Albany
00-0030000,Kenbrell Thompkins,195,7/29/1988,Cincinnati
00-0030001,Joe Vellano,300,10/30/1988,Maryland
00-0033928,Jourdan Lewis,195,8/31/1995,Michigan
00-0033929,Montravius Adams,304,7/24/1995,Auburn
00-0028034,Alex Green,220,6/23/1988,Hawaii
00-0028035,Sione Fua,310,6/15/1988,Stanford
00-0028032,Kenrick Ellis,346,12/10/1987,Hampton
00-0028033,Curtis Brown,185,9/24/1988,Texas
00-0033298,Pita Taumoepenu,245,3/9/1994,Utah
00-0028031,Chris Conte,203,2/23/1989,California
00-0033296,Alex Armah,255,5/17/1994,West Georgia
00-0033297,D.J. Jones,321,1/19/1995,Mississippi
00-0033294,Chuck Clark,210,4/19/1995,Virginia Tech
00-0033295,Elijah McGuire,214,6/1/1994,Louisiana-Lafayette
00-0033292,Trent Taylor,178,4/30/1994,Louisiana Tech
00-0033293,Aaron Jones,208,12/2/1994,Texas-El Paso
00-0033926,Shaquill Griffin,198,7/20/1995,Central Florida
00-0033927,John Johnson,204,12/19/1995,Boston College
00-0028931,Emanuel Davis,195,8/9/1988,East Carolina
00-0030477,Spencer Nealy,295,12/8/1989,Texas A&M
00-0030476,Garrett Gilkey,315,7/9/1990,Chadron State
00-0030475,Michael Buchanan,255,1/24/1991,Illinois
00-0030474,Josh Boyce,205,5/6/1991,Texas Christian
00-0030473,Sam Montgomery,270,5/25/1990,LSU
00-0030472,Jordan Reed,246,7/3/1990,Florida
00-0030471,Shawn Williams,210,5/13/1991,Georgia
00-0030470,Vance McDonald,267,6/13/1990,Rice
00-0030479,David Fulton,196,11/30/1989,Chowan Coll. NC
00-0025253,Tiger Jones,191,5/21/1982,Louisville
00-0026787,Kole Heckendorf,191,11/20/1985,North Dakota State
00-0026784,Evan Smith,308,7/19/1986,Idaho State
00-0029928,Erik Highsmith,190,11/20/1990,North Carolina
00-0026782,Michael Turkovich,301,11/27/1986,Notre Dame
00-0026783,Carson Butler,260,8/21/1987,Michigan
00-0029892,Kyle Juszczyk,240,4/23/1991,Harvard
00-0026781,Asaph Schwapp,251,1/26/1987,Notre Dame
00-0029923,J.D. Woods,203,2/7/1990,West Virginia
00-0029922,Anthony Rashad White,320,8/2/1989,Michigan State
00-0029927,Darius Eubanks,222,7/12/1991,Georgia Southern
00-0029926,Nicholas Edwards,200,12/23/1989,Eastern Washington
00-0029925,Brandan Bishop,208,1/23/1991,North Carolina State
00-0029924,Colin Anderson,240,11/21/1989,Furman
00-0032529,Johnny Maxey,283,10/19/1993,Mars Hill
00-0032528,Justin Murray,304,4/19/1993,Cincinnati
00-0032526,David Moala,311,12/30/1992,Utah State
00-0032525,Jarrod Wilson,210,2/9/1994,Michigan
00-0032524,Jamal Robinson,205,1/13/1993,Louisiana-Lafayette
00-0032523,Henry Krieger-Coble,248,6/12/1992,Iowa
00-0033205,Winston Chapman,244,4/15/1992,Mississippi State
00-0032521,Mike Hilton,184,3/9/1994,Mississippi
00-0032520,Rashod Hill,313,1/12/1992,Southern Mississippi
00-0025789,Chris Patrick,305,8/22/1984,Nebraska
00-0025788,Paul Oliver,210,3/30/1984,Georgia
00-0029891,Lowell Rose,192,3/11/1990,Tulsa
00-0025780,Kyle Williams,295,3/19/1984,USC
00-0025787,Jared Gaither,335,3/18/1986,Maryland
00-0025786,Jeremy Kapinos,233,8/23/1984,Penn State
00-0031878,Robertson Daniel,205,10/2/1991,Brigham Young
00-0029639,Jamell Fleming,206,5/5/1989,Oklahoma
00-0031875,Brandon Wegher,205,12/9/1990,Morningside
00-0031876,Matt Wile,215,6/20/1992,Michigan
00-0031870,Dean Marlowe,208,7/25/1992,James Madison
00-0031871,Arthur Miley,270,3/3/1993,Southern University
00-0033248,Casey Sayles,289,9/4/1995,Ohio U.
00-0023096,Nick Novak,200,8/21/1981,Maryland
00-0023090,Derreck Robinson,295,3/3/1982,Iowa
00-0027789,Dezmon Briscoe,210,8/31/1989,Kansas
00-0027788,Travis Goethel,255,7/27/1987,Arizona State
00-0027785,Shelley Smith,310,5/21/1987,Colorado State
00-0027784,Clifton Geathers,325,12/11/1987,South Carolina
00-0027787,Eugene Sims,269,3/18/1986,West Texas A&M
00-0027786,Jonathan Dwyer,229,7/26/1989,Georgia Tech
00-0027781,Eric Olsen,306,6/16/1988,Notre Dame
00-0027780,Nate Byham,264,6/27/1988,Pittsburgh
00-0027783,Anthony McCoy,259,12/28/1987,USC
00-0027782,Adrian Tracy,248,4/6/1987,William & Mary
00-0033241,Terrish Webb,190,9/7/1995,Pittsburgh
00-0033242,Jermaine Grace,223,11/8/1993,Miami (Fla.)
00-0022089,Vince Manuwai,333,7/12/1980,Hawaii
00-0005231,Brian Finneran,210,1/31/1976,Villanova
00-0033247,Folarin Orimolade,229,11/23/1995,Dartmouth
00-0033246,Johnny Mundt,231,11/23/1994,Oregon
00-0033235,Tyler Renew,217,10/20/1994,The Citadel
00-0022414,Malcom Floyd,225,9/8/1981,Wyoming
00-0026258,Xavier Adibi,242,10/18/1984,Virginia Tech
00-0026259,Jack Williams,183,3/27/1985,Kent State
00-0026528,Braxton Kelley,242,10/24/1986,Kentucky
00-0033200,Taylor Symmank,195,10/2/1992,Texas Tech
00-0026250,Shawn Murphy,295,12/17/1982,Utah State
00-0026251,Martin Rucker,251,5/4/1985,Missouri
00-0026252,Anthony Collins,315,11/2/1985,Kansas
00-0026253,Dwight Lowery,212,1/23/1986,San Jose State
00-0026254,Reggie Corner,181,11/17/1983,Akron
00-0026255,Dre Moore,305,6/9/1985,Maryland
00-0026256,Kenny Iwebema,280,2/6/1985,Iowa
00-0026257,Quintin Demps,216,6/29/1985,Texas-El Paso
00-0027129,Aaron Brown,200,10/10/1985,Texas Christian
00-0027128,Coye Francies,185,11/15/1986,San Jose State
00-0027121,Tom Brandstater,222,10/21/1984,Fresno State
00-0027120,Javon Ringer,213,2/2/1987,Michigan State
00-0027123,Spencer Adkins,236,5/16/1987,Miami (Fla.)
00-0011970,Joe Nedney,220,3/22/1973,San Jose State
00-0027125,Zach Miller,245,10/4/1984,Nebraska-Omaha
00-0027124,Don Carey,202,2/14/1987,Norfolk State
00-0027127,Kevin Ellison,221,1/8/1987,USC
00-0027126,Cary Harris,178,3/22/1987,USC
00-0033735,Billy Brown,255,3/20/1993,Shepherd
00-0033734,Jomal Wiltz,180,10/23/1994,Iowa State
00-0033730,Tyler Orlosky,298,2/15/1994,West Virginia
00-0033733,Greg Ward,186,7/12/1995,Houston
00-0033739,Darreus Rogers,218,9/3/1993,USC
00-0033738,Otha Peters,238,2/27/1994,Louisiana-Lafayette
00-0030279,Keenan Allen,211,4/27/1992,California
00-0030278,Manti Te'o,241,1/26/1991,Notre Dame
00-0030275,Demontre Hurst,191,3/24/1991,Oklahoma
00-0030274,Myles White,195,3/30/1990,Louisiana Tech
00-0030277,Christian Tupou,305,5/7/1989,USC
00-0030276,R.J. Webb,205,8/24/1987,Furman
00-0030270,Gilbert Pena,330,11/15/1986,Mississippi
00-0030273,Lane Taylor,324,11/22/1989,Oklahoma State
00-0030272,Jake Stoneburner,261,8/25/1989,Ohio State
00-0024387,Reed Doughty,206,11/4/1982,Northern Colorado
00-0001263,Matt Birk,310,7/23/1976,Harvard
00-0031279,Jake Matthews,309,2/11/1992,Texas A&M
00-0031272,Jonathan Dowling,190,12/8/1991,Western Kentucky
00-0031273,Cameron Brate,245,7/3/1991,Harvard
00-0031270,Shelby Harris,290,8/11/1991,Illinois State
00-0031271,Trey Millard,247,7/21/1991,Oklahoma
00-0031276,Tyler Patmon,188,1/26/1991,Oklahoma State
00-0031277,Branden Oliver,208,5/7/1991,Buffalo
00-0031274,Quintin Payton,212,2/24/1990,North Carolina State
00-0031275,Ian Thompson,234,9/14/1990,Louisiana-Lafayette
00-0023954,Stephen Bowen,300,3/28/1984,Hofstra
00-0023955,Darrell Hunter,211,11/29/1983,Miami (Ohio)
00-0032068,Malcolm Johnson,231,8/11/1992,Mississippi State
00-0032069,Derron Smith,200,2/4/1992,Fresno State
00-0023950,A.J. Schable,281,5/18/1984,South Dakota
00-0023952,Tavares Washington,315,4/20/1983,Florida
00-0023953,Sam Hurd,200,4/24/1985,Northern Illinois
00-0032062,Blake Bell,252,8/7/1991,Oklahoma
00-0032063,Mike Davis,217,2/19/1993,South Carolina
00-0032060,Eli Harold,265,1/20/1994,Virginia
00-0032061,Xavier Cooper,300,11/30/1991,Washington State
00-0032066,Tevin Mitchel,192,8/3/1992,Arkansas
00-0032067,Ian Silberman,305,10/10/1992,Boston College
00-0032064,DeAndre Smelter,227,12/3/1991,Georgia Tech
00-0032065,Bradley Pinion,229,6/1/1994,Clemson
00-0019626,Alfonso Boone,320,1/11/1976,Central State (Ohio)
00-0019629,Bobbie Williams,345,9/25/1976,Arkansas
00-0033364,Justin Vogel,219,10/14/1993,Miami (Fla.)
00-0032913,Larry Scott,194,3/5/1993,Oregon State
00-0028436,Jarrett Crittenton,278,1/5/1988,Middle Tennessee State
00-0032910,Shaq Petteway,239,2/2/1993,West Virginia
00-0028925,William Green,250,4/28/1990,Florida
